turn,intersection,org,dst,length
46632,46624,9986,1328,5.126988442457703
46633,46624,9986,9836,20.61732128777691
46634,46624,9986,9996,16.351462697817986
46635,46624,9995,1325,11.069516654718473
46636,46624,9995,1328,20.065411933040835
46637,46624,9995,9836,14.766019401689562
46638,46624,9995,9996,18.724416837258396
46642,46641,1328,1330,30.581020937771168
46643,46641,1328,9984,24.050011103710194
46644,46641,1328,10002,10.830386075408649
46645,46641,1329,1327,30.239085993056676
46646,46641,1329,9984,18.608874211477826
46647,46641,1329,10002,25.066571577483064
46648,46641,9983,9984,23.25666526893598
46649,46641,9983,10002,13.939262531201912
46650,46641,9998,9984,20.111989115749036
46651,46641,9998,10002,19.348172158218624
46655,46654,7807,9952,35.52675814877759
46656,46654,7807,10052,35.29196635555992
46657,46654,17006,9952,37.68842431048601
46658,46654,17006,10052,28.579983165145997
46659,46654,10053,9952,15.127071778011695
46661,46660,9936,9937,12.722093872299123
64763,46660,64751,64752,17.089608748808192
65683,46660,64751,9937,10.77053448178837
46664,46663,8622,8805,20.529078510573246
46665,46663,8622,9530,29.24276125194013
46666,46663,9686,8805,20.976425275239286
46667,46663,9686,9530,19.811718940430836
46669,46668,8345,8342,40.53062217346988
46670,46668,8345,9307,38.590812179315535
46671,46668,9546,8342,28.906095798462076
46672,46668,9546,9307,17.7450929902831
46674,46673,9298,9706,16.533468015271144
46675,46673,10189,9706,16.937866060934457
46679,46678,9570,9882,9.075743887122984
46680,46678,9570,10098,11.144871528585428
46681,46678,9883,9882,16.05539400840995
46682,46678,9883,10098,8.576075372898146
46686,46685,9561,10086,5.2861661593947655
46687,46685,9561,10099,6.1795781596328565
46688,46685,10085,10086,15.305425859927674
46689,46685,10085,10099,8.631888083924196
46693,46692,9581,9884,8.09209471070117
46694,46692,9581,10100,10.523883047586676
46695,46692,9885,9884,15.04005771282788
46696,46692,9885,10100,10.11245839752246
46700,46699,9595,10088,12.543195296359857
46701,46699,9595,10101,7.814813508842349
46702,46699,10087,10088,23.165644574229272
46706,46705,9609,9886,11.443419911263215
46707,46705,9609,10102,11.908417401570143
46708,46705,9887,9886,21.167864325933525
46709,46705,9887,10102,12.61392781056534
46713,46712,9622,9887,10.807428099977896
46714,46712,9622,10103,11.804075125738025
46715,46712,9888,9887,19.549595483834185
46716,46712,9888,10103,14.016935737080662
46720,46719,9641,10091,14.571513128090283
46721,46719,9641,10104,7.806226771366491
46722,46719,10090,10091,24.194823794083746
46726,46725,9657,9889,10.93708238349111
46727,46725,9657,10105,12.324336975584718
46728,46725,9890,9889,17.644705824685083
46729,46725,9890,10105,10.50922327387284
46733,46732,9671,10094,8.831804876060689
46734,46732,9671,10106,9.745274154116107
46735,46732,10092,10094,15.384581980595364
46739,46738,9685,9891,7.2125398741825695
46740,46738,9685,10107,8.333778224652752
46741,46738,9892,9891,19.547762975248112
46742,46738,9892,10107,12.442785321985085
46746,46745,9071,10097,5.831014954849683
46747,46745,10096,9072,8.2391302438869
46748,46745,10096,10097,19.21646508298672
64759,46745,9071,64751,7.591592611025408
46752,46751,9715,9946,9.702575548332788
46753,46751,9715,10109,11.708699230991426
46754,46751,9949,9946,25.00213568766421
46755,46751,9949,10109,18.333955124716546
72133,46751,9715,72127,12.347278566012497
46759,46758,9743,9940,12.685021389207597
46760,46758,9743,10113,15.617139721413338
46761,46758,9893,9940,19.16354132333249
46762,46758,9893,10113,11.310974803859796
46766,46765,9761,9894,9.886998770323258
46767,46765,9761,10116,11.06492848219123
46768,46765,9895,9894,15.792695621276442
46769,46765,9895,10116,9.481548249447357
46773,46772,9763,10117,12.462661766806868
46774,46772,9763,10118,14.311272550465402
46775,46772,10115,10117,14.028316691614055
46779,46778,9777,9896,14.648629005953788
46780,46778,9777,10119,17.464283123412354
46781,46778,9897,9896,13.905655923287771
46782,46778,9897,10119,10.025133585993068
46786,46785,9898,9792,8.690300767595604
46787,46785,9898,10193,18.463420176495656
46788,46785,10120,9792,19.801653739149963
46789,46785,10120,10193,20.73566347023449
46790,46785,10120,10209,4.1525305414521325
46791,46785,10208,10209,19.25141579204946
46795,46794,9804,9899,14.997711164302205
46796,46794,9804,10124,14.738343118395058
46797,46794,9900,9899,23.53590219880652
46798,46794,9900,10124,14.09907865332791
46802,46801,9817,10125,18.66430085531718
46803,46801,9817,10126,13.370096529672875
46804,46801,10123,10125,26.801506309337057
46805,46801,10123,10126,13.381899398255387
46809,46808,9970,9901,7.096771001504277
46810,46808,9970,10128,7.6412903505498075
46811,46808,9972,9901,17.384510235155208
46814,46813,10034,10031,15.061129418181263
46815,46813,10034,10131,8.282803287844523
46816,46813,10047,10031,6.918858985631354
46817,46813,10047,10131,8.870212207232536
46821,46820,9813,10136,5.292607082548017
46822,46820,10137,10136,9.833974395850792
46826,46825,9797,10135,6.374154570778036
46827,46825,9797,10140,8.377440416617699
46828,46825,10139,10135,15.046042726939664
46829,46825,10139,10140,8.43768052314303
46833,46832,9772,10143,9.863636532753782
46834,46832,9772,10145,12.881109392198983
46835,46832,10142,10143,15.431273646762516
46836,46832,10142,10145,8.207821450849233
46840,46839,9769,10144,9.534708948368957
46841,46839,9769,10148,11.852242916528434
46842,46839,10147,10144,16.856945423030062
46843,46839,10147,10148,8.46883853965166
46847,46846,9754,10149,8.264138815198997
46848,46846,9754,10151,10.590333412946588
46849,46846,10146,10149,15.498160642314541
46850,46846,10146,10151,9.344922268428604
46854,46853,9321,1048,14.76245406597527
46855,46853,9321,10153,16.864411075010235
46856,46853,10154,10153,24.725504814846822
46858,46857,1044,1045,19.743386375672483
46859,46857,1044,3123,7.7382838506729135
46860,46857,1044,9856,18.07894619046771
46861,46857,3122,9856,21.802072655738744
46862,46857,9852,3123,20.433032815186312
46864,46863,9319,10156,7.177535411122962
46865,46863,9319,10157,7.394473730017962
46866,46863,17009,10156,10.05967641004183
46867,46863,17009,10157,16.1663897089572
46871,46870,9344,10158,16.750918370722456
46872,46870,9344,10161,9.769444377907691
46873,46870,10160,10158,23.105370628443282
46874,46870,10160,10161,9.07872271024014
46878,46877,9370,10160,14.726740617737182
46879,46877,9370,10163,11.51193800289421
46880,46877,10164,10160,21.80116888130437
46881,46877,10164,10163,9.727955112844576
46885,46884,9399,10165,6.802411098951438
46886,46884,9399,10166,5.829800351211637
46887,46884,10162,10165,13.125410545302683
46888,46884,10162,10166,18.202448804186336
46892,46891,9455,10171,4.383542901020102
46893,46891,9455,10172,7.59114913177255
46894,46891,10169,10171,10.270679399966257
46895,46891,10169,10172,17.84723817816311
46899,46898,9482,10173,16.76168868780725
